吉林电信,#genre#
吉林舒兰新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.217:5540
吉林洮南2普清,http://36.49.50.124:8800/udp/239.37.0.218:5540
吉林抚松普清,http://36.49.50.124:8800/udp/239.37.0.219:5540
吉林临江普清,http://36.49.50.124:8800/udp/239.37.0.220:5540
吉林松原普清,http://36.49.50.124:8800/udp/239.37.0.246:5540
吉林松原公共普清,http://36.49.50.124:8800/udp/239.37.0.247:5540
吉林延边1普清,http://36.49.50.124:8800/udp/239.37.0.248:5540
吉林延边2普清,http://36.49.50.124:8800/udp/239.37.0.249:5540
吉林辽源新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.250:5540
吉林辽源公共普清,http://36.49.50.124:8800/udp/239.37.0.251:5540
吉林蛟河普清,http://36.49.50.124:8800/udp/239.37.0.252:5540
VSPN全电竞高清,http://36.49.50.124:8800/udp/239.37.0.140:5540
动画（没有LOGO）高清,http://36.49.50.124:8800/udp/239.37.0.147:5540
电影4K,http://36.49.50.124:8800/udp/239.37.0.148:5540
DV生活普清,http://36.49.50.124:8800/udp/239.37.0.89:5540
LIVE直播普清,http://36.49.50.124:8800/udp/239.37.0.139:5540

