宁夏电信,#genre#
魅力音乐,http://111.113.73.202:8888/udp/239.121.4.72:8406
IPTV相声小品,http://111.113.73.202:8888/udp/239.121.4.186:9100
戏曲,http://111.113.73.202:8888/udp/239.121.4.187:9106
七彩戏剧,http://111.113.73.202:8888/udp/239.121.4.73:8412
魅力时尚,http://111.113.73.202:8888/udp/239.121.4.85:8484
美妆,http://111.113.73.202:8888/udp/239.121.4.83:8472
美人,http://111.113.73.202:8888/udp/239.121.4.188:9112
极速汽车,http://111.113.73.202:8888/udp/239.121.4.77:8436
生活时尚,http://111.113.73.202:8888/udp/239.121.4.68:8382
旅游卫视,http://111.113.73.202:8888/udp/239.121.4.50:8274
爱生活,http://111.113.73.202:8888/udp/239.121.4.189:9118
金色频道,http://111.113.73.202:8888/udp/239.121.4.78:8442
劲爆体育,http://111.113.73.202:8888/udp/239.121.4.65:8364
武术,http://111.113.73.202:8888/udp/239.121.4.191:9130
高网,http://111.113.73.202:8888/udp/239.121.4.192:9136
足球,http://111.113.73.202:8888/udp/239.121.4.193:9142
台球,http://111.113.73.202:8888/udp/239.121.4.194:9148
兵团卫视,http://111.113.73.202:8888/udp/239.121.4.195:9154
军事,http://111.113.73.202:8888/udp/239.121.4.196:9160
好学生,http://111.113.73.202:8888/udp/239.121.4.197:9166
早教,http://111.113.73.202:8888/udp/239.121.4.198:9172
中国教育4,http://111.113.73.202:8888/udp/239.121.4.199:9178
中国教育1,http://111.113.73.202:8888/udp/239.121.4.59:8328
中国教育2,http://111.113.73.202:8888/udp/239.121.4.60:8334
幸福彩,http://111.113.73.202:8888/udp/239.121.4.76:8430
中国气象,http://111.113.73.202:8888/udp/239.121.4.112:8654
导视,http://111.113.73.202:8888/udp/239.121.4.89:8508
CCTV1,http://111.113.73.202:8888/udp/239.121.4.1:7980
CCTV2,http://111.113.73.202:8888/udp/239.121.4.2:7986
CCTV7,http://111.113.73.202:8888/udp/239.121.4.7:7998
CCTV9,http://111.113.73.202:8888/udp/239.121.4.9:8028
CCTV10,http://111.113.73.202:8888/udp/239.121.4.10:8010
CCTV12,http://111.113.73.202:8888/udp/239.121.4.12:8022
CCTV少儿,http://111.113.73.202:8888/udp/239.121.4.15:8034
湖北卫视,http://111.113.73.202:8888/udp/239.121.4.34:8178
东方卫视,http://111.113.73.202:8888/udp/239.121.4.27:8136
湖南卫视,http://111.113.73.202:8888/udp/239.121.4.33:8172
江苏卫视,http://111.113.73.202:8888/udp/239.121.4.28:8142
浙江卫视,http://111.113.73.202:8888/udp/239.121.4.29:8148
北京卫视,http://111.113.73.202:8888/udp/239.121.4.26:8130
广东卫视,http://111.113.73.202:8888/udp/239.121.4.46:8250
深圳卫视,http://111.113.73.202:8888/udp/239.121.4.54:8298
黑龙江卫视,http://111.113.73.202:8888/udp/239.121.4.44:8238
安徽卫视,http://111.113.73.202:8888/udp/239.121.4.30:8154
山东卫视,http://111.113.73.202:8888/udp/239.121.4.31:8160
辽宁卫视,http://111.113.73.202:8888/udp/239.121.4.42:8226
直播室201,http://111.113.73.202:8888/udp/239.121.4.127:8744
直播室202,http://111.113.73.202:8888/udp/239.121.4.128:8750
直播室203,http://111.113.73.202:8888/udp/239.121.4.129:8756
直播室204,http://111.113.73.202:8888/udp/239.121.4.130:8762
直播室205,http://111.113.73.202:8888/udp/239.121.4.131:8768
直播室206,http://111.113.73.202:8888/udp/239.121.4.132:8774
直播室207,http://111.113.73.202:8888/udp/239.121.4.133:8780
直播室208,http://111.113.73.202:8888/udp/239.121.4.146:8858
直播室209,http://111.113.73.202:8888/udp/239.121.4.147:8864
直播室210,http://111.113.73.202:8888/udp/239.121.4.148:8870
直播室211,http://111.113.73.202:8888/udp/239.121.4.149:8876

CCTV1高清,http://106.45.10.217:8888/udp/239.121.4.113:8636
CCTV2高,http://106.45.10.217:8888/udp/239.121.4.155:8914
CCTV3高清,http://106.45.10.217:8888/udp/239.121.4.151:8890
