河南电信,#genre#
周口新闻综合,http://123.52.47.14:8800/udp/239.16.10.59:2000
许昌农业科教,http://123.52.47.14:8800/udp/239.16.10.60:2000
许昌公共,http://123.52.47.14:8800/udp/239.16.10.61:2000
信阳文旅,http://123.52.47.14:8800/udp/239.16.10.71:2000
浉河广电中心,http://123.52.47.14:8800/udp/239.16.10.72:2000
平桥广电中心,http://123.52.47.14:8800/udp/239.16.10.73:2000
杞县新闻综合,http://123.52.47.14:8800/udp/239.16.10.80:2000
郸城,http://123.52.47.14:8800/udp/239.16.10.84:2000
永城新闻联播,http://123.52.47.14:8800/udp/239.16.10.93:2000
光山综合,http://123.52.47.14:8800/udp/239.16.10.94:2000
唐河TV-1,http://123.52.47.14:8800/udp/239.16.10.95:2000
上蔡-1,http://123.52.47.14:8800/udp/239.16.10.97:2000
商丘1新闻综合,http://123.52.47.14:8800/udp/239.16.10.153:2000
南阳3科教,http://123.52.47.14:8800/udp/239.16.10.164:2000
南阳2公共,http://123.52.47.14:8800/udp/239.16.10.165:2000
新县综合,http://123.52.47.14:8800/udp/239.16.10.166:2000
商丘2公共,http://123.52.47.14:8800/udp/239.16.10.168:2000
商丘3文体科教,http://123.52.47.14:8800/udp/239.16.10.169:2000
驻马店1新闻综合,http://123.52.47.14:8800/udp/239.16.10.170:2000
驻马店3科教,http://123.52.47.14:8800/udp/239.16.10.171:2000
周口公共,http://123.52.47.14:8800/udp/239.16.10.172:2000
周口教育,http://123.52.47.14:8800/udp/239.16.10.173:2000
开封2文化旅游,http://123.52.47.14:8800/udp/239.16.10.177:2000
舞阳新闻综合,http://123.52.47.14:8800/udp/239.16.10.179:2000
临颍综合,http://123.52.47.14:8800/udp/239.16.10.180:2000
美食汇,http://123.52.47.14:8800/udp/239.16.10.185:2000
棋牌汇,http://123.52.47.14:8800/udp/239.16.10.186:2000
未知,http://123.52.47.14:8800/udp/239.16.10.191:2000
未知,http://123.52.47.14:8800/udp/239.16.10.193:2000
项城电视台,http://123.52.47.14:8800/udp/239.16.10.214:2000


河南卫视,http://1.197.0.240:8888/udp/239.16.10.119:2000
河南都市,http://1.197.0.240:8888/udp/239.16.10.120:2000
河南民生,http://1.197.0.240:8888/udp/239.16.10.121:2000
河南法治,http://1.197.0.240:8888/udp/239.16.10.122:2000
河南电视剧,http://1.197.0.240:8888/udp/239.16.10.123:2000
河南新闻,http://1.197.0.240:8888/udp/239.16.10.124:2000
河南公共,http://1.197.0.240:8888/udp/239.16.10.126:2000
健康中原,http://1.197.0.240:8888/udp/239.16.10.131:2000
河南戏曲,http://1.197.0.240:8888/udp/239.16.10.148:2000
河南文博,http://1.197.0.240:8888/udp/239.16.10.149:2000
河南功夫,http://1.197.0.240:8888/udp/239.16.10.150:2000
河南移动戏曲,http://1.197.0.240:8888/udp/239.16.20.120:11200
河南睛彩中原,http://1.197.0.240:8888/udp/239.16.20.122:11220
河南乡村,http://1.197.0.240:8888/udp/239.16.10.181:2000
河南国际,http://1.197.0.240:8888/udp/239.16.10.182:2000
河南移动电视,http://1.197.0.240:8888/udp/239.16.10.79:2000
百姓调解,http://1.197.0.240:8888/udp/239.16.10.183:2000
大象新闻,http://1.197.0.240:8888/udp/239.16.10.192:2000
河南都市,http://1.197.0.240:8888/udp/239.16.20.164:11640
河南民生,http://1.197.0.240:8888/udp/239.16.20.165:11650
河南法治,http://1.197.0.240:8888/udp/239.16.20.166:11660
河南电视剧,http://1.197.0.240:8888/udp/239.16.20.167:11670
河南新闻,http://1.197.0.240:8888/udp/239.16.20.168:11680
河南公共,http://1.197.0.240:8888/udp/239.16.20.170:11700
河南梨园,http://1.197.0.240:8888/udp/239.16.20.171:11710
河南文物宝库,http://1.197.0.240:8888/udp/239.16.20.172:11720
河南武术世界,http://1.197.0.240:8888/udp/239.16.20.173:11730

郑州1新闻综合,http://1.197.0.240:8888/udp/239.16.10.154:2000
郑州2商都,http://1.197.0.240:8888/udp/239.16.10.155:2000
郑州3文体,http://1.197.0.240:8888/udp/239.16.10.156:2000
郑州4影视戏曲,http://1.197.0.240:8888/udp/239.16.10.157:2000
郑州5妇女儿童,http://1.197.0.240:8888/udp/239.16.10.158:2000
郑州6都市生活,http://1.197.0.240:8888/udp/239.16.10.159:2000

新乡县综合,http://1.197.0.240:8888/udp/239.16.20.18:10180
封丘1新闻综合,http://1.197.0.240:8888/udp/239.16.20.19:10190
邓州综合,http://1.197.0.240:8888/udp/239.16.20.20:10200
获嘉综合,http://1.197.0.240:8888/udp/239.16.20.25:10250
平顶山教育台,http://1.197.0.240:8888/udp/239.16.20.27:10270
大剧院,http://1.197.0.240:8888/udp/239.16.20.29:10290
平煤综合,http://1.197.0.240:8888/udp/239.16.20.30:10300
平煤安全环保,http://1.197.0.240:8888/udp/239.16.20.31:10310
叶县电视台-1,http://1.197.0.240:8888/udp/239.16.20.32:10320
新密综合,http://1.197.0.240:8888/udp/239.16.20.41:10410
登封综合,http://1.197.0.240:8888/udp/239.16.20.42:10420
巩义综合,http://1.197.0.240:8888/udp/239.16.20.43:10430
荥阳综合,http://1.197.0.240:8888/udp/239.16.20.44:10440
新郑TV-1,http://1.197.0.240:8888/udp/239.16.20.45:10450
渑池新闻综合,http://1.197.0.240:8888/udp/239.16.20.47:10470
淅川电视台-1,http://1.197.0.240:8888/udp/239.16.20.48:10480
