黑龙江联通,#genre#
美好2台,http://59.126.25.222:8011/udp/224.1.4.145:11111
美食星球,http://59.126.25.222:8011/udp/230.1.2.178:11111
華納,http://59.126.25.222:8011/udp/230.1.2.68:11111
華納,http://59.126.25.222:8011/udp/224.1.4.234:11111
華視,http://59.126.25.222:8011/udp/230.1.2.229:11111
華視教育體育文化,http://59.126.25.222:8011/udp/224.1.4.223:11111
華視新聞資訊,http://59.126.25.222:8011/udp/230.1.2.248:11111
華藏衡視,http://59.126.25.222:8011/udp/224.1.4.181:11111
華藝MBC綜合台,http://59.126.25.222:8011/udp/224.1.4.130:11111
華藝台灣台,http://59.126.25.222:8011/udp/224.1.4.185:11111
華藝影劇台,http://59.126.25.222:8011/udp/230.1.2.200:11111
采昌综合台,http://59.126.25.222:8011/udp/224.1.4.59:11111
采昌影劇台,http://59.126.25.222:8011/udp/224.1.4.221:11111
鏡新聞,http://59.126.25.222:8011/udp/230.1.2.138:11111
靖天卡通,http://59.126.25.222:8011/udp/230.1.2.162:11111
靖天戲劇 ,http://59.126.25.222:8011/udp/230.1.2.163:11111
靖天日本,http://59.126.25.222:8011/udp/230.1.2.221:11111
靖天映畫,http://59.126.25.222:8011/udp/230.1.2.236:11111
靖天綜合,http://59.126.25.222:8011/udp/230.1.2.194:11111
靖天育樂,http://59.126.25.222:8011/udp/230.1.2.194:11111
靖天国际,http://59.126.25.222:8011/udp/224.1.4.220:11111
靖天資訊,http://59.126.25.222:8011/udp/230.1.2.184:11111
靖天電影,http://59.126.25.222:8011/udp/230.1.2.243:11111
靖洋卡通Nice Bingo歐洲動漫,http://59.126.25.222:8011/udp/230.1.2.161:11111
靖洋戲劇 ,http://59.126.25.222:8011/udp/230.1.2.240:11111
韓國娛樂台KMTV,http://59.126.25.222:8011/udp/224.1.4.232:11111
麥哲倫频道知 與娛樂兼具,http://59.126.25.222:8011/udp/230.1.2.136:11111
龍華偶像 ,http://59.126.25.222:8011/udp/230.1.2.156:11111
龍華動畫,http://59.126.25.222:8011/udp/224.1.4.180:11111
龍華影劇 ,http://59.126.25.222:8011/udp/230.1.2.167:11111
龍華戲劇,http://59.126.25.222:8011/udp/230.1.2.149:11111
龍華洋片,http://59.126.25.222:8011/udp/230.1.2.211:11111
龍華經典,http://59.126.25.222:8011/udp/224.1.4.172:11111
龍華電影,http://59.126.25.222:8011/udp/224.1.4.251:11111
猫熊频道,http://59.126.25.222:8011/udp/224.1.4.116:11111



广东电信,#genre#
广东卫视,http://113.76.149.109:4022/udp/239.77.1.19:5146
广东卫视,http://113.76.149.109:4022/udp/239.77.1.152:5146
广东卫视,http://113.76.149.109:4022/udp/239.77.0.84:5146
广东卫视,http://113.76.149.109:4022/udp/239.77.0.166:5146
广东珠江,http://113.76.149.109:4022/udp/239.77.0.1:5146
广东珠江,http://113.76.149.109:4022/udp/239.77.0.114:5146
广东新闻,http://113.76.149.109:4022/udp/239.77.0.173:5146
广东民生,http://113.76.149.109:4022/udp/239.77.0.225:5146
广东体育,http://113.76.149.109:4022/udp/239.77.0.112:5146
广东体育,http://113.76.149.109:4022/udp/239.77.0.168:5146
经济科教,http://113.76.149.109:4022/udp/239.77.0.85:5146
经济科教,http://113.76.149.109:4022/udp/239.77.0.167:5146
大湾区卫视,http://113.76.149.109:4022/udp/239.77.0.215:5146
广东影视,http://113.76.149.109:4022/udp/239.77.0.217:5146
南国都市,http://113.76.149.109:4022/udp/239.253.43.99:5146
广东少儿,http://113.76.149.109:4022/udp/239.77.0.250:5146
嘉佳卡通,http://113.76.149.109:4022/udp/239.77.0.179:5146
广东卫视,http://113.76.149.109:4022/udp/239.77.0.2:5146
广东卫视,http://113.76.149.109:4022/udp/239.77.1.2:5146
广东珠江,http://113.76.149.109:4022/udp/239.77.0.3:5146
广东珠江,http://113.76.149.109:4022/udp/239.77.1.94:5146
广东新闻,http://113.76.149.109:4022/udp/239.77.0.4:5146
广东民生,http://113.76.149.109:4022/udp/239.77.0.5:5146
广东体育,http://113.76.149.109:4022/udp/239.77.0.6:5146
广东体育,http://113.76.149.109:4022/udp/239.77.1.97:5146
广东国际,http://113.76.149.109:4022/udp/239.77.0.7:5146
经济科教,http://113.76.149.109:4022/udp/239.77.0.8:5146
