龙华电影,udp://224.1.5.251:11111
nickelodcon,udp://224.1.5.249:11111
松视-3,udp://224.1.5.253:11111
MOVIES,udp://224.1.6.2:11111
艺华综合台,udp://224.1.6.1:11111
CinemaWorld,udp://224.1.6.3:11111
求索频道,udp://224.1.6.6:11111
龙华影剧,udp://224.1.6.5:11111
BBC,udp://224.1.6.9:11111
BBC lifestyle,udp://224.1.6.10:11111
小日本台,udp://224.1.6.11:11111
DMAX,udp://224.1.6.13:11111
SCI,udp://224.1.6.12:11111
EVE,udp://224.1.6.14:11111
艺华影剧台,udp://224.1.6.17:11111
壹新闻,udp://224.1.6.18:11111
LUXEtv,udp://224.1.6.16:11111
壹新闻,udp://224.1.6.19:11111
三立新闻,udp://224.1.6.21:11111
三立新闻综合,udp://224.1.6.22:11111
法国时装,udp://224.1.6.25:11111
爱放,udp://224.1.6.26:11111
公视-3,udp://224.1.6.31:11111
TVBS精彩台,udp://224.1.6.35:11111
极限电影台,udp://224.1.6.32:11111
H,udp://224.1.6.36:11111
CATCHPLAY,udp://224.1.6.37:11111
星衛娱乐台,udp://224.1.6.38:11111
潘多拉,udp://224.1.6.39:11111
壹综合,udp://224.1.6.40:11111
MTV,udp://224.1.6.43:11111
未知-17,udp://224.1.6.49:11111
ASIA,udp://224.1.6.47:11111
46,udp://224.1.6.46:11111
52,udp://224.1.6.52:11111
51,udp://224.1.6.51:11111
HITS,udp://224.1.6.53:11111
HITS,udp://224.1.6.54:11111
NNK,udp://224.1.6.55:11111
NNK,udp://224.1.6.56:11111
LOVE NATURE,udp://224.1.6.58:11111
CMUSIC,udp://224.1.6.60:11111
韩国娱乐台,udp://224.1.6.66:11111
Lifetime,udp://224.1.6.64:11111
WBtv,udp://224.1.6.68:11111
70,udp://224.1.6.70:11111
未知,udp://224.1.6.69:11111
冠军,udp://224.1.6.74:11111
LVN2,udp://224.1.6.79:11111
MEZZ,udp://224.1.6.81:11111
TRACE,udp://224.1.6.84:11111
AFN,udp://224.1.6.85:11111
MTV,udp://224.1.6.86:11111
ELTA体育-2,udp://224.1.6.88:11111
89,udp://224.1.6.89:11111
香蕉台,udp://224.1.6.94:11111
博斯无限-2,udp://224.1.6.97:11111
台视新闻,udp://224.1.6.99:11111
ELTA体育-1,udp://224.1.6.119:11111
爱自然4K,udp://224.1.6.121:11111
4K多视角,udp://224.1.6.124:11111
未知,udp://224.1.6.128:11111
MCE,udp://224.1.6.129:11111
ELTA体育-1,udp://224.1.6.131:11111
ELTA影剧,udp://224.1.6.132:11111
ELTA综合,udp://224.1.6.133:11111
EYETV戏剧,udp://224.1.6.134:11111
国家地理,udp://224.1.6.136:11111
WILD,udp://224.1.6.137:11111
CNBC,udp://224.1.6.140:11111
EYETV旅游,udp://224.1.6.135:11111
居家,udp://224.1.6.141:11111
松视-1,udp://224.1.6.142:11111
美亚电影台,udp://224.1.6.143:11111
寰宇新闻台湾台,udp://224.1.6.147:11111
寰宇综合,udp://224.1.6.148:11111
龙华戏剧,udp://224.1.6.149:11111
星衛电影台,udp://224.1.6.153:11111
台湾戏剧台,udp://224.1.6.154:11111
民视新闻台,udp://224.1.6.155:11111
KIDS,udp://224.1.6.150:11111
极限电影台,udp://224.1.6.152:11111
龙华偶像,udp://224.1.6.156:11111
博斯运动,udp://224.1.6.158:11111
amc最爱电影,udp://224.1.6.157:11111
未知-18,udp://224.1.6.160:11111
靖洋卡通台,udp://224.1.6.161:11111
靖天卡通台,udp://224.1.6.162:11111
靖天戏剧台,udp://224.1.6.163:11111
MOVIES,udp://224.1.6.164:11111
TrVl,udp://224.1.6.166:11111
龙华影剧,udp://224.1.6.167:11111
探索,udp://224.1.6.168:11111
BBC,udp://224.1.6.172:11111
BBC,udp://224.1.6.173:11111
亚洲旅游台,udp://224.1.6.175:11111
法国时装,udp://224.1.6.177:11111
美食星球,udp://224.1.6.178:11111
音乐,udp://224.1.6.180:11111
LUXETV,udp://224.1.6.176:11111
博斯高球-1,udp://224.1.6.183:11111
动画,udp://224.1.6.181:11111
185,udp://224.1.6.185:11111
壹新闻,udp://224.1.6.188:11111
壹电影,udp://224.1.6.189:11111
靖天育乐台,udp://224.1.6.194:11111
IOI,udp://224.1.6.195:11111
博斯运动-2,udp://224.1.6.196:11111
博斯网球,udp://224.1.6.198:11111
博斯高球-2,udp://224.1.6.197:11111
艺华影剧台,udp://224.1.6.200:11111
11,udp://224.1.6.211:11111
12,udp://224.1.6.212:11111
13,udp://224.1.6.213:11111
16,udp://224.1.6.216:11111
18,udp://224.1.6.218:11111
14,udp://224.1.6.214:11111
壹综合,udp://224.1.6.220:11111
靖天日本台,udp://224.1.6.221:11111
博斯无限,udp://224.1.6.215:11111
